"analysis","N","deaths","term","HR","CI_low","CI_high","p"
"Grip per 5-kg lower",2623,220,"cvd",1.1365502569739,0.633140459824507,2.04022103876519,0.668067171062477
"Grip per 5-kg lower",2623,220,"cancer",1.2711692431556,0.867468532831871,1.86274335447042,0.21842519596396
"Sex interactions",2623,220,"vcf_grade2",2.72822900331523,1.66231638114499,4.47762747149467,7.17145506247887e-05
"Sex interactions",2623,220,"female",0.926215534291414,0.652635094307608,1.31447913764562,0.66783468305739
"Sex interactions",2623,220,"low_grip",1.98352572367111,1.1270548723433,3.49084538207526,0.0175619655184029
"Sex interactions",2623,220,"age10",1.98166728256004,1.66520479018159,2.3582716323682,1.31296159627281e-14
"Sex interactions",2623,220,"race2",0.760833740036855,0.313841614173988,1.8444589685852,0.545176187078679
"Sex interactions",2623,220,"race3",1.57655243423009,1.01059168068375,2.45946768154192,0.0448096961789365
"Sex interactions",2623,220,"race4",1.38578518429265,0.908878590929416,2.11293411041977,0.129508462022459
"Sex interactions",2623,220,"race5",0.718372857642046,0.214774210299969,2.40280041945462,0.591308890309686
"Sex interactions",2623,220,"education2",0.697887365067009,0.24788006000065,1.96484854134252,0.495813145119931
"Sex interactions",2623,220,"education3",1.02091268200606,0.579460860111076,1.79867662516672,0.942898898343007
"Sex interactions",2623,220,"education4",0.978242108432807,0.518430213782864,1.84587548578307,0.9458614507141
"Sex interactions",2623,220,"education5",1.17366385787654,0.569660049391236,2.41808575615877,0.664147401569754
"Sex interactions",2623,220,"INDFMPIR",0.830545706468137,0.724491952892077,0.952123992239031,0.00772468843846357
"Sex interactions",2623,220,"bmi",0.983302219756479,0.944080803305327,1.02415307248369,0.417472778570052
"Sex interactions",2623,220,"smokingFormer",1.21608199236602,0.81449030803354,1.81568202539741,0.338754096829802
"Sex interactions",2623,220,"smokingCurrent",2.44885117508431,1.22005518092459,4.91524659824581,0.0117512125355515
"Sex interactions",2623,220,"alcoholFormer/light lifetime",1.62536928096646,0.999242375229412,2.64382832934091,0.0503537589861667
"Sex interactions",2623,220,"alcoholPast-year drinker",1.37602471736575,0.864519180598197,2.19017005671446,0.178278289100891
"Sex interactions",2623,220,"phys_active",0.692800114210382,0.458750369249835,1.04625964450946,0.0809864170198494
"Sex interactions",2623,220,"diabetes",1.71436960257652,1.17179604087792,2.50816953779465,0.00549257892911695
"Sex interactions",2623,220,"hypertension",1.82128859846361,1.40830333005986,2.35538188974711,4.8870296333064e-06
"Sex interactions",2623,220,"cvd",1.22306861821685,0.731555366574314,2.04481699296632,0.442531819918339
"Sex interactions",2623,220,"cancer",1.24163648592876,0.872496082608094,1.76695482526538,0.229248465063426
"Sex interactions",2623,220,"vcf_grade2:female",0.316666422206859,0.13230166053062,0.757946820554717,0.0098119074967294
"Sex interactions",2623,220,"female:low_grip",0.802822959318444,0.29707637360945,2.16955894599732,0.665020238305909
"Age >=65 interactions",2623,220,"vcf_grade2",1.99676546718838,0.643295047634995,6.1978906034083,0.231451933232673
"Age >=65 interactions",2623,220,"older65",1.10653526113829,0.594626381637995,2.05914221425818,0.749358582223757
"Age >=65 interactions",2623,220,"low_grip",1.04966620476495,0.124033328502101,8.88308936583118,0.964517831280451
"Age >=65 interactions",2623,220,"age10",1.9020220266411,1.33958401765839,2.70060536863652,0.000324886376008804
"Age >=65 interactions",2623,220,"female",0.810480125088264,0.562788554977957,1.16718442006841,0.258805654649839
"Age >=65 interactions",2623,220,"race2",0.73843825854979,0.310739062374885,1.75481980772727,0.492337079561852
"Age >=65 interactions",2623,220,"race3",1.55754625630937,1.00060299351471,2.42448838976783,0.0496845279035249
"Age >=65 interactions",2623,220,"race4",1.35955745083248,0.880420776878037,2.09944666307002,0.16589107081346
"Age >=65 interactions",2623,220,"race5",0.711688625829757,0.223704080679605,2.26415494342668,0.564608905927213
"Age >=65 interactions",2623,220,"education2",0.721945363110612,0.259483804371419,2.00862288334139,0.532583831026555
"Age >=65 interactions",2623,220,"education3",1.03287940427704,0.59203684736902,1.80198220519663,0.909292400702615
"Age >=65 interactions",2623,220,"education4",1.01423610619446,0.529543163250987,1.94257040879013,0.96599428240242
"Age >=65 interactions",2623,220,"education5",1.20147250395477,0.579191618489413,2.49232919068169,0.621986775703332
"Age >=65 interactions",2623,220,"INDFMPIR",0.828466062895467,0.71853610728069,0.955214373244288,0.00957422490755201
"Age >=65 interactions",2623,220,"bmi",0.983714763936283,0.94510828475709,1.02389826900622,0.421505174057582
